,udisc_name,pdga_no,cur_rating,cur_udisc_rank,cur_udisc_index,cur_pdga_rank
453,Brent Koontz,24900,999,,,
454,Keith Gallusser,25831,999,,,
455,Nathan Genthner,28488,999,,,
456,Leif Swenson,32388,999,,,
457,Dylan Lhotak,41076,999,,,
458,Alex Brister,45367,999,,,
459,Justin Bilodeau,45478,999,,,
460,Jacob Blair,52785,999,,,
461,Thomas Earhart,54106,999,,,
462,Sam Shiley,56072,999,,,
463,Terry Rothlisberger,57493,999,,,
464,Dylan Rees,60300,999,,,
465,Tim Denna,65766,999,,,
466,Tyler Schrock,71872,999,,,
467,Micah Callies,88538,999,,,
468,Christopher Keseloff,91498,999,,,
469,Joshua Johnson,96436,999,,,
470,Blake Waldron,100981,999,,,
471,Gavin Phillips,119504,999,,,
472,Kaleb Skinner,126344,999,,,
473,Jesse Longenecker,149546,999,,,
474,Rickey Pina,191933,999,,,
475,Jade Smith,250179,999,,,
476,Masatoshi Ishihara,8153,998,,,
477,Myles Harding,10466,998,,,
478,Tony Bass,20060,998,,,
479,Dion Arlyn,24781,998,,,
480,Jacky Logan,25728,998,,,
481,Daniel Polk,27276,998,,,
482,Damien Trunkey,28623,998,,,
483,Casey Cox,29737,998,,,
484,Calvin Pettigrew,31818,998,,,
485,Derek Sahr,39552,998,,,
486,David Zimmerman,40327,998,,,
487,Chris Shotwell,41918,998,,,
488,Logan Ritter,44974,998,,,
489,Philip Bartholomew,45441,998,,,
490,Mark Peters,45745,998,,,
491,Kenneth C. Tyburski,45935,998,,,
492,Jake Palmer,55615,998,,,
493,Jeremy Herr,56486,998,,,
494,Liam Stott,60044,998,,,
495,Gavin Ossenkop,60331,998,,,
496,Nick Robinson,60332,998,,,
497,Kevin Sheehan,62461,998,,,
498,Toni Jaatinen,84795,998,,,
499,Mitchell Kloc,95299,998,,,
500,Thomas Canfield,103148,998,,,
501,Mathew Helms,107024,998,,,
502,Adam Howard,113586,998,,,
503,Lucas Rooney,113853,998,,,
504,Kasperi Pakarinen,117337,998,,,
505,Emmitt Kison,121422,998,,,
506,Jared Henderson,126148,998,,,
507,Eli Swansen,128050,998,,,
508,Nathaniel Johnson,138355,998,,,
509,Ethan Hine,153763,998,,,
510,Adam Hamm,189493,998,,,
511,Devin Frederick,16287,997,,,
512,Jeff Faes,33661,997,,,
513,CJ King,37832,997,,,
514,Devin Cordell,38801,997,,,
515,Scott Kile,39062,997,,,
516,Jason Sosnowski,39562,997,,,
517,Steven Jacobs,41260,997,,,
518,Charles Behrhorst,42202,997,,,
519,Michael Holt,50777,997,,,
520,Cameron Messerschmidt,58814,997,,,
521,Skyler Stoker,59861,997,,,
522,Blair Goulas,61807,997,,,
523,Steven Miller,62198,997,,,
524,Lucas Hegna,65608,997,,,
525,Tuomas Autio,71845,997,,,
526,Chris Blanchard,72709,997,,,
527,Dan Brooks-Wells,79228,997,,,
528,Thomas Tomaselli,80904,997,,,
529,Clayton Lewis,92873,997,,,
530,Alberto Ochoa,93782,997,,,
531,Corey Selig,100561,997,,,
532,Ryan Muizelaar,103366,997,,,
533,Alex Durham,103859,997,,,
534,Adrian Chevalier,104894,997,,,
535,Andrew Filimoehala,104985,997,,,
536,Ko Simmel,108547,997,,,
537,Owen McCall,120343,997,,,
538,Jake Clem,121690,997,,,
539,Stephen Becker,122140,997,,,
540,Jerek Oberholtzer,125543,997,,,
541,P.J. Sanchez,126856,997,,,
542,Hugo Frojdlund,135258,997,,,
543,Donovan Stein,137733,997,,,
544,Rainers Balodis,158640,997,,,
545,Takahito Watanabe,241651,997,,,
546,Chris Smith,19983,996,,,
547,Hans Coleman,21416,996,,,
548,Chris Waugh,25269,996,,,
549,Corey Dryden,29812,996,,,
550,Jason Dore,31476,996,,,
551,Brock Shepherd,32091,996,,,
552,Jeremiah Kraus,38737,996,,,
553,Nick Schultz,47589,996,,,
554,Sias Elmore,57425,996,,,
555,Caleb Huber,58357,996,,,
556,Jackson Sullivan,61103,996,,,
557,Jonathan Fletcher,65940,996,,,
558,Ryan Robinson,66977,996,,,
559,Andrew Leyland,68384,996,,,
560,Matthew Bloom-Edmonds,75635,996,,,
561,William Johnson,80465,996,,,
562,Hunter Brasel,84414,996,,,
563,Michael Babbitt,86291,996,,,
564,Josiah O'Polka,88979,996,,,
565,Trent Somerville,92729,996,,,
